[2018-06-09 17:46:36,873] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:46:36,874] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:46:36,874] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:47:49,967] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:47:49,967] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:47:49,967] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:48:38,947] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:48:38,947] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:48:38,948] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:49:17,510] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:49:17,510] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:49:17,510] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:49:58,749] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:49:58,750] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:49:58,750] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:56:45,048] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:56:45,049] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:56:45,049] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:57:09,507] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:57:09,507] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:57:09,507] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:00:15,693] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:00:15,694] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:00:15,694] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:01:59,212] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:01:59,212] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:01:59,212] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:08:28,940] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:08:28,940] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:08:28,941] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:10:38,786] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:10:38,786] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:10:38,787] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:14:41,340] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:14:41,340] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:14:41,341] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:20:11,301] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:20:11,302] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:20:11,302] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:31:11,529] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:31:11,529] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:31:11,530] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:34:12,692] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:34:12,693] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:34:12,693] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:39:29,593] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:39:29,593] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:39:29,593] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:40:59,038] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:40:59,039] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:40:59,039] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:44:02,275] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:44:02,275] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:44:02,276] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:45:42,224] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:45:42,224] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:45:42,224] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:46:10,522] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:46:10,522] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
